report_date,category,revenue
30/06/2022,Ethnic Dress,8616.0
30/06/2022,Saree,1566.0
30/06/2022,Set,248080.0
30/06/2022,Top,41540.0
30/06/2022,Western Dress,87136.0
30/06/2022,kurta,167777.0
01/07/2022,Blouse,926.0
01/07/2022,Ethnic Dress,690.0
01/07/2022,Set,45205.0
01/07/2022,Top,9314.0
01/07/2022,Western Dress,24044.0
01/07/2022,kurta,35416.0
